Theta(deg) =   0.000000 , Phi(deg) =   0.000000 , Number of orbits =     7 , (Angstrom^-1) units
Slice   =    186 , Freq(kT, average of all copies)              =   0.3115
Orbit # =      0 , Freq(kT, this largest copy used for outline) =   0.3142
Points  =     43
  kx            ky            kz
  1.344501E+01  8.164580E+00  2.003158E+00
  1.343346E+01  8.191647E+00  2.003158E+00
  1.342684E+01  8.219970E+00  2.003158E+00
  1.342813E+01  8.248293E+00  2.003158E+00
  1.341669E+01  8.266498E+00  2.003158E+00
  1.341038E+01  8.276616E+00  2.003158E+00
  1.340943E+01  8.304939E+00  2.003158E+00
  1.339860E+01  8.333262E+00  2.003158E+00
  1.338836E+01  8.355638E+00  2.003158E+00
  1.338414E+01  8.361586E+00  2.003158E+00
  1.337292E+01  8.389909E+00  2.003158E+00
  1.336004E+01  8.408215E+00  2.003158E+00
  1.334922E+01  8.418232E+00  2.003158E+00
  1.333652E+01  8.446555E+00  2.003158E+00
  1.333172E+01  8.452575E+00  2.003158E+00
  1.330339E+01  8.472273E+00  2.003158E+00
  1.328688E+01  8.446555E+00  2.003158E+00
  1.327507E+01  8.430282E+00  2.003158E+00
  1.327214E+01  8.418232E+00  2.003158E+00
  1.327507E+01  8.411650E+00  2.003158E+00
  1.328976E+01  8.389909E+00  2.003158E+00
  1.328256E+01  8.361586E+00  2.003158E+00
  1.329301E+01  8.333262E+00  2.003158E+00
  1.329802E+01  8.304939E+00  2.003158E+00
  1.330339E+01  8.280288E+00  2.003158E+00
  1.330453E+01  8.276616E+00  2.003158E+00
  1.331852E+01  8.248293E+00  2.003158E+00
  1.332371E+01  8.219970E+00  2.003158E+00
  1.333172E+01  8.209920E+00  2.003158E+00
  1.334960E+01  8.191647E+00  2.003158E+00
  1.336004E+01  8.164005E+00  2.003158E+00
  1.336058E+01  8.163324E+00  2.003158E+00
  1.338836E+01  8.142488E+00  2.003158E+00
  1.340143E+01  8.135001E+00  2.003158E+00
  1.341669E+01  8.119366E+00  2.003158E+00
  1.344194E+01  8.106677E+00  2.003158E+00
  1.344501E+01  8.103371E+00  2.003158E+00
  1.344597E+01  8.106677E+00  2.003158E+00
  1.344501E+01  8.109917E+00  2.003158E+00
  1.343274E+01  8.135001E+00  2.003158E+00
  1.344501E+01  8.160195E+00  2.003158E+00
  1.344546E+01  8.163324E+00  2.003158E+00
  1.344501E+01  8.164580E+00  2.003158E+00
Slice   =     17 , Freq(kT, average of all copies)              =   0.3210
Orbit # =      0 , Freq(kT, this largest copy used for outline) =   0.3311
Points  =     43
  kx            ky            kz
  4.647267E+00  4.111889E+00 -3.305303E+00
  4.632570E+00  4.133786E+00 -3.305303E+00
  4.643243E+00  4.162109E+00 -3.305303E+00
  4.629541E+00  4.190432E+00 -3.305303E+00
  4.627048E+00  4.218755E+00 -3.305303E+00
  4.618944E+00  4.243658E+00 -3.305303E+00
  4.617423E+00  4.247078E+00 -3.305303E+00
  4.608108E+00  4.275401E+00 -3.305303E+00
  4.603437E+00  4.303725E+00 -3.305303E+00
  4.590621E+00  4.325331E+00 -3.305303E+00
  4.586045E+00  4.332048E+00 -3.305303E+00
  4.587424E+00  4.360371E+00 -3.305303E+00
  4.573107E+00  4.388694E+00 -3.305303E+00
  4.562298E+00  4.406247E+00 -3.305303E+00
  4.551172E+00  4.417017E+00 -3.305303E+00
  4.535113E+00  4.445340E+00 -3.305303E+00
  4.533975E+00  4.446370E+00 -3.305303E+00
  4.505652E+00  4.468933E+00 -3.305303E+00
  4.500073E+00  4.473663E+00 -3.305303E+00
  4.477329E+00  4.493033E+00 -3.305303E+00
  4.457147E+00  4.473663E+00 -3.305303E+00
  4.473524E+00  4.445340E+00 -3.305303E+00
  4.466516E+00  4.417017E+00 -3.305303E+00
  4.477329E+00  4.389048E+00 -3.305303E+00
  4.477583E+00  4.388694E+00 -3.305303E+00
  4.481697E+00  4.360371E+00 -3.305303E+00
  4.490272E+00  4.332048E+00 -3.305303E+00
  4.504775E+00  4.303725E+00 -3.305303E+00
  4.500487E+00  4.275401E+00 -3.305303E+00
  4.505652E+00  4.267766E+00 -3.305303E+00
  4.523379E+00  4.247078E+00 -3.305303E+00
  4.524691E+00  4.218755E+00 -3.305303E+00
  4.533975E+00  4.201136E+00 -3.305303E+00
  4.546468E+00  4.190432E+00 -3.305303E+00
  4.560188E+00  4.162109E+00 -3.305303E+00
  4.562298E+00  4.158142E+00 -3.305303E+00
  4.585897E+00  4.133786E+00 -3.305303E+00
  4.590621E+00  4.130217E+00 -3.305303E+00
  4.618944E+00  4.109622E+00 -3.305303E+00
  4.628919E+00  4.105463E+00 -3.305303E+00
  4.647267E+00  4.097860E+00 -3.305303E+00
  4.650122E+00  4.105463E+00 -3.305303E+00
  4.647267E+00  4.111889E+00 -3.305303E+00
Slice   =     86 , Freq(kT, average of all copies)              =   0.3237
Orbit # =      0 , Freq(kT, this largest copy used for outline) =   0.3301
Points  =     45
  kx            ky            kz
  6.462221E+00  4.759969E+00 -1.351007E+00
  6.447025E+00  4.785218E+00 -1.351007E+00
  6.447690E+00  4.813541E+00 -1.351007E+00
  6.436287E+00  4.841864E+00 -1.351007E+00
  6.434077E+00  4.870187E+00 -1.351007E+00
  6.433898E+00  4.870705E+00 -1.351007E+00
  6.422095E+00  4.898510E+00 -1.351007E+00
  6.405861E+00  4.926833E+00 -1.351007E+00
  6.408169E+00  4.955157E+00 -1.351007E+00
  6.405575E+00  4.959437E+00 -1.351007E+00
  6.387055E+00  4.983480E+00 -1.351007E+00
  6.377252E+00  5.001171E+00 -1.351007E+00
  6.367676E+00  5.011803E+00 -1.351007E+00
  6.348929E+00  5.039150E+00 -1.351007E+00
  6.346834E+00  5.040126E+00 -1.351007E+00
  6.320606E+00  5.057698E+00 -1.351007E+00
  6.310296E+00  5.068449E+00 -1.351007E+00
  6.292283E+00  5.078977E+00 -1.351007E+00
  6.286541E+00  5.068449E+00 -1.351007E+00
  6.292283E+00  5.054485E+00 -1.351007E+00
  6.307114E+00  5.040126E+00 -1.351007E+00
  6.296472E+00  5.011803E+00 -1.351007E+00
  6.300584E+00  4.983480E+00 -1.351007E+00
  6.307869E+00  4.955157E+00 -1.351007E+00
  6.304491E+00  4.926833E+00 -1.351007E+00
  6.320333E+00  4.898510E+00 -1.351007E+00
  6.315650E+00  4.870187E+00 -1.351007E+00
  6.320606E+00  4.860281E+00 -1.351007E+00
