Theta(deg),Phi(deg),Freq(kT),mstar(me),Curv(kTA2),Type(+e-h),NumOrbCopy
  0.000000,  0.000000,  4.566563E+00,  3.333370E+00, -1.684684E-11, 1.000,  746
  0.000000,  0.000000,  4.566563E+00,  3.333370E+00,  3.757270E-13, 1.000,  805
  0.000000,  0.000000,  4.566563E+00,  3.333370E+00,  2.728886E-11, 1.000,  498
  0.000000,  0.000000,  4.566563E+00,  3.333370E+00,  1.989462E-11, 1.000, 1546
  0.000000,  0.000000,  4.566563E+00,  3.333370E+00,  3.046597E-11, 1.000,  735
  0.000000,  0.000000,  4.566563E+00,  3.333370E+00, -4.925339E-11, 1.000,  789
  0.000000,  5.000000,  4.584027E+00,  3.346100E+00, -4.351310E-03, 1.000,  384
  0.000000,  5.000000,  4.584027E+00,  3.346100E+00, -5.263043E-03, 1.000,  392
  0.000000,  5.000000,  4.584027E+00,  3.346100E+00, -6.902271E-03, 1.000,  776
  0.000000,  5.000000,  4.584027E+00,  3.346100E+00, -7.395186E-03, 1.000,  408
  0.000000,  5.000000,  4.584027E+00,  3.346099E+00, -6.765864E-03, 1.000,  408
  0.000000,  5.000000,  4.584027E+00,  3.346099E+00, -7.874809E-03, 1.000,  176
  0.000000, 10.000000,  4.637042E+00,  3.384792E+00,  3.622598E-02, 1.000,  224
  0.000000, 10.000000,  4.637042E+00,  3.384792E+00,  3.587967E-02, 1.000,  976
  0.000000, 10.000000,  4.637042E+00,  3.384792E+00,  3.392783E-02, 1.000,  516
  0.000000, 10.000000,  4.637042E+00,  3.384791E+00,  3.493932E-02, 1.000,  496
  0.000000, 10.000000,  4.637042E+00,  3.384791E+00,  3.482107E-02, 1.000,  476
  0.000000, 10.000000,  4.637042E+00,  3.384791E+00,  3.372861E-02, 1.000,  516
  0.000000, 15.000000,  4.727713E+00,  3.450961E+00, -5.456794E-02, 1.000,  164
  0.000000, 15.000000,  4.727713E+00,  3.450961E+00, -5.428513E-02, 1.000,  516
  0.000000, 15.000000,  4.727713E+00,  3.450961E+00, -5.733519E-02, 1.000,  568
  0.000000, 15.000000,  4.727713E+00,  3.450961E+00, -5.995813E-02, 1.000,  508
  0.000000, 15.000000,  4.727713E+00,  3.450961E+00, -6.096292E-02, 1.000,  996
  0.000000, 15.000000,  4.727713E+00,  3.450961E+00, -6.379084E-02, 1.000,  560
  0.000000, 20.000000,  4.859727E+00,  3.547302E+00, -1.289238E-02, 1.000,  668
  0.000000, 20.000000,  4.859727E+00,  3.547302E+00, -1.404118E-02, 1.000, 1300
  0.000000, 20.000000,  4.859727E+00,  3.547302E+00, -1.505149E-02, 1.000,  680
  0.000000, 20.000000,  4.859728E+00,  3.547302E+00, -1.647725E-02, 1.000,  656
  0.000000, 20.000000,  4.859728E+00,  3.547302E+00, -1.766018E-02, 1.000,  724
  0.000000, 20.000000,  4.859728E+00,  3.547302E+00, -2.028433E-02, 1.000,  320
  0.000000, 25.000000,  5.038782E+00,  3.677974E+00,  1.139390E-03, 1.000,  952
  0.000000, 25.000000,  5.038782E+00,  3.677975E+00,  4.379808E-04, 1.000,  912
  0.000000, 25.000000,  5.038782E+00,  3.677975E+00,  3.742936E-04, 1.000,  780
  0.000000, 25.000000,  5.038782E+00,  3.677974E+00, -4.900155E-04, 1.000, 1608
  0.000000, 25.000000,  5.038782E+00,  3.677974E+00, -5.659774E-04, 1.000,  764
  0.000000, 25.000000,  5.038782E+00,  3.677974E+00, -4.844657E-03, 1.000,  336
  0.000000, 30.000000,  5.273206E+00,  3.849056E+00,  1.062257E-02, 1.000,  372
  0.000000, 30.000000,  5.273206E+00,  3.849056E+00,  6.003167E-03, 1.000,  636
  0.000000, 30.000000,  5.273206E+00,  3.849056E+00,  4.486173E-03, 1.000,  764
  0.000000, 30.000000,  5.273206E+00,  3.849056E+00,  2.597454E-03, 1.000,  672
  0.000000, 30.000000,  5.273206E+00,  3.849056E+00,  2.758567E-04, 1.000, 1452
  0.000000, 30.000000,  5.273206E+00,  3.849056E+00, -1.834430E-03, 1.000,  684
  0.000000, 35.000000,  5.575009E+00,  4.069310E+00, -3.777944E-02, 1.000,  484
  0.000000, 35.000000,  5.575009E+00,  4.069310E+00, -3.893034E-02, 1.000,  460
  0.000000, 35.000000,  5.575009E+00,  4.069311E+00, -4.028957E-02, 1.000,  476
  0.000000, 35.000000,  5.575009E+00,  4.069310E+00, -4.112472E-02, 1.000,  504
