# E (eV)   doscond(E)
   -7.000000000    0.000298451
   -6.990990991    0.000304297
   -6.981981982    0.000310342
   -6.972972973    0.000316596
   -6.963963964    0.000323069
   -6.954954955    0.000329773
   -6.945945946    0.000336719
   -6.936936937    0.000343919
   -6.927927928    0.000351386
   -6.918918919    0.000359135
   -6.909909910    0.000367180
   -6.900900901    0.000375537
   -6.891891892    0.000384224
   -6.882882883    0.000393259
   -6.873873874    0.000402661
   -6.864864865    0.000412453
   -6.855855856    0.000422655
   -6.846846847    0.000433294
   -6.837837838    0.000444395
   -6.828828829    0.000455987
   -6.819819820    0.000468100
   -6.810810811    0.000480768
   -6.801801802    0.000494026
   -6.792792793    0.000507914
   -6.783783784    0.000522473
   -6.774774775    0.000537750
   -6.765765766    0.000553795
   -6.756756757    0.000570662
   -6.747747748    0.000588411
   -6.738738739    0.000607108
   -6.729729730    0.000626823
   -6.720720721    0.000647637
   -6.711711712    0.000669635
   -6.702702703    0.000692913
   -6.693693694    0.000717576
   -6.684684685    0.000743742
   -6.675675676    0.000771541
   -6.666666667    0.000801117
   -6.657657658    0.000832632
   -6.648648649    0.000866265
   -6.639639640    0.000902221
   -6.630630631    0.000940727
   -6.621621622    0.000982040
   -6.612612613    0.001026452
   -6.603603604    0.001074295
   -6.594594595    0.001125946
   -6.585585586    0.001181839
   -6.576576577    0.001242471
   -6.567567568    0.001308416
   -6.558558559    0.001380342
   -6.549549550    0.001459027
   -6.540540541    0.001545381
   -6.531531532    0.001640478
   -6.522522523    0.001745593
   -6.513513514    0.001862247
   -6.504504505    0.001992268
   -6.495495495    0.002137872
   -6.486486486    0.002301766
   -6.477477477    0.002487287
   -6.468468468    0.002698590
   -6.459459459    0.002940911
   -6.450450450    0.003220917
   -6.441441441    0.003547226
   -6.432432432    0.003931141
   -6.423423423    0.004387743
   -6.414414414    0.004937550
   -6.405405405    0.005609103
   -6.396396396    0.006443139
   -6.387387387    0.007499591
   -6.378378378    0.008869841
   -6.369369369    0.010699413
   -6.360360360    0.013232781
   -6.351351351    0.016909501
   -6.342342342    0.022593465
   -6.333333333    0.032203807
   -6.324324324    0.050848181
   -6.315315315    0.096861323
   -6.306306306    0.294090669
   -6.297297297   33.536210911
   -6.288288288    9.111488494
   -6.279279279    6.120748863
   -6.270270270    4.760627340
   -6.261261261    3.952542303
   -6.252252252    3.408400618
   -6.243243243    3.013733163
   -6.234234234    2.712884188
   -6.225225225    2.475181497
   -6.216216216    2.282198529
   -6.207207207    2.122140773
   -6.198198198    1.987081541
   -6.189189189    1.871482982
   -6.180180180    1.771351855
   -6.171171171    1.683731910
   -6.162162162    1.606385311
   -6.153153153    1.537585393
   -6.144144144    1.475977666
   -6.135135135    1.420484097
   -6.126126126    1.370235661
   -6.117117117    1.324523851
   -6.108108108    1.282765175
   -6.099099099    1.244474754
   -6.090090090    1.209246409
   -6.081081081    1.176737431
   -6.072072072    1.146656823
   -6.063063063    1.118756116
   -6.054054054    1.092822125
   -6.045045045    1.068671213
   -6.036036036    1.046144698
   -6.027027027    1.025105177
   -6.018018018    1.005433567
   -6.009009009    0.987026732
   -6.000000000    0.969795589
   -5.990990991    0.953663626
   -5.981981982    0.938565763
   -5.972972973    0.924447540
   -5.963963964    0.911264603
   -5.954954955    0.898982497
   -5.945945946    0.887576784
   -5.936936937    0.877033531
   -5.927927928    0.867350251
   -5.918918919    0.858537418
   -5.909909910    0.850620740
   -5.900900901    0.843644487
   -5.891891892    0.837676326
   -5.882882883    0.832814358
   -5.873873874    0.829197499
   -5.864864865    0.827021077
   -5.855855856    0.826560870
   -5.846846847    0.828211285
   -5.837837838    0.832548368
   -5.828828829    0.840438730
   -5.819819820    0.853238962
   -5.810810811    0.873188308
   -5.801801802    0.904258790
   -5.792792793    0.954250109
   -5.783783784    1.041027463
   -5.774774775    1.217883388
   -5.765765766    1.776399195
   -5.756756757    0.177882564
   -5.747747748    0.027190530
   -5.738738739    0.013293180
   -5.729729730    0.008773812
   -5.720720721    0.006686959
   -5.711711712    0.005563897
   -5.702702703    0.004927018
   -5.693693694    0.004585849
   -5.684684685    0.004461257
   -5.675675676    0.004531904
   -5.666666667    0.004822417
   -5.657657658    0.005419249
   -5.648648649    0.006534664
   -5.639639640    0.008724007
   -5.630630631    0.013827097
   -5.621621622    0.032072230
   -5.612612613    0.636352306
   -5.603603604    1.453514334
   -5.594594595    1.060230855
   -5.585585586    0.908625264
   -5.576576577    0.825687090
   -5.567567568    0.772698131
   -5.558558559    0.735632042
   -5.549549550    0.708086429
   -5.540540541    0.686699429
   -5.531531532    0.669529652
   -5.522522523    0.655375695
   -5.513513514    0.643453781
   -5.504504505    0.633230778
   -5.495495495    0.624331533
   -5.486486486    0.616484503
   -5.477477477    0.609488397
   -5.468468468    0.603190905
   -5.459459459    0.597474710
   -5.450450450    0.592248011
